sampno,vehno,vehyear,make,make_o,model,model_o,body,body_o,fuel,fuel_o,transp,parkd,parkd_o
30009311,2,2015,58,-1,58044,-1,1,-1,1,-1,1,3,-1
30009360,1,2009,37,-1,37031,-1,1,-1,1,-1,1,3,-1
30009382,1,2017,12,-1,12402,-1,3,-1,1,-1,1,3,-1
30009382,2,2013,12,-1,12023,-1,1,-1,1,-1,1,3,-1
30009382,3,2009,35,-1,35050,-1,1,-1,1,-1,1,3,-1
30009396,1,2009,37,-1,37039,-1,1,-1,1,-1,2,2,-1
30009396,2,2006,7,-1,7021,-1,1,-1,1,-1,2,2,-1
30009396,3,1967,20,-1,20009,-1,1,-1,1,-1,2,3,-1
30009467,1,2016,37,-1,37032,-1,1,-1,1,-1,1,2,-1
30009467,2,2002,24,-1,24001,-1,1,-1,1,-1,1,2,-1
30009593,1,2004,37,-1,37031,-1,1,-1,1,-1,1,2,-1
30009631,1,2017,49,-1,49051,-1,1,-1,1,-1,2,3,-1
30009631,2,2006,49,-1,49032,-1,1,-1,1,-1,2,3,-1
30009663,1,2011,19,-1,19022,-1,1,-1,1,-1,1,3,-1
30009712,1,2008,2,-1,2407,-1,3,-1,1,-1,1,2,-1
30009712,2,2006,18,-1,18441,-1,2,-1,1,-1,1,3,-1
30009712,3,2002,20,-1,20481,-1,4,-1,1,-1,2,2,-1
30009723,1,2011,49,-1,49032,-1,1,-1,1,-1,1,3,-1
30009851,1,2013,55,-1,55033,-1,1,-1,1,-1,1,3,-1
30009874,1,2017,29,-1,29005,-1,1,-1,4,-1,1,3,-1
30009874,2,2014,65,-1,65031,-1,1,-1,1,-1,1,3,-1
30009874,3,2013,30,-1,30421,-1,3,-1,1,-1,1,3,-1
30009874,4,2012,30,-1,30042,-1,1,-1,1,-1,1,3,-1
30009888,1,2008,35,-1,35047,-1,1,-1,1,-1,1,3,-1
30009905,1,2012,37,-1,37031,-1,1,-1,1,-1,2,2,-1
30009905,2,2004,49,-1,49040,-1,1,-1,1,-1,2,3,-1
30009945,1,2014,37,-1,37032,-1,1,-1,1,-1,1,2,-1
30009945,2,2011,37,-1,37031,-1,1,-1,1,-1,2,2,-1
30009962,1,2013,63,-1,63402,-1,3,-1,1,-1,1,3,-1
30009996,1,2009,12,-1,12473,-1,3,-1,1,-1,1,3,-1
30009996,2,2006,51,-1,51046,-1,1,-1,1,-1,1,3,-1
